complexity,accuracy,distortion,mse,gNID,eps,beta,run,point_type,round,universe,prior,num_signals,distance,discriminative_need_gamma,meaning_dist_gamma,dynamics,imprecise_imitation_gamma,population_init_gamma,seed,ib_bound_function
1.5164447,1.541235,0.37079287,2.30082,,,,1.0,trajectory,95.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5164971,1.5412841,0.37074375,2.3007066,,,,1.0,trajectory,96.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5165524,1.5413365,0.3706913,2.3005893,,,,1.0,trajectory,97.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5166097,1.5413876,0.37064028,2.3004692,,,,1.0,trajectory,98.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5166693,1.5414424,0.37058544,2.3003464,,,,1.0,trajectory,99.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5167289,1.5414972,0.3705306,2.3002236,,,,1.0,trajectory,100.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5167899,1.5415516,0.37047625,2.3000991,,,,1.0,trajectory,101.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5168519,1.5416074,0.37042046,2.2999773,,,,1.0,trajectory,102.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5169134,1.5416617,0.3703661,2.2998567,,,,1.0,trajectory,103.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.516974,1.5417142,0.37031364,2.2997394,,,,1.0,trajectory,104.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5170336,1.5417676,0.37026024,2.2996266,,,,1.0,trajectory,105.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5170913,1.5418167,0.37021112,2.2995188,,,,1.0,trajectory,106.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5171475,1.5418644,0.37016344,2.2994175,,,,1.0,trajectory,107.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.517201,1.5419102,0.37011766,2.2993226,,,,1.0,trajectory,108.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5172515,1.5419517,0.37007618,2.299236,,,,1.0,trajectory,109.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5172997,1.5419898,0.37003803,2.2991571,,,,1.0,trajectory,110.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5173426,1.5420246,0.37000322,2.2990878,,,,1.0,trajectory,111.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5173826,1.5420556,0.36997223,2.2990277,,,,1.0,trajectory,112.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5174179,1.5420828,0.36994505,2.2989771,,,,1.0,trajectory,113.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5174489,1.5421052,0.36992264,2.2989368,,,,1.0,trajectory,114.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5174766,1.5421243,0.36990356,2.2989063,,,,1.0,trajectory,115.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5174985,1.5421376,0.3698902,2.2988858,,,,1.0,trajectory,116.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
